Entity,Medical doctors per 1000 people,Median age,Population,Longitude,Continent,Average temperature per year,Population aged 65 and over (%),Hospital beds per 1000 people,GDP/Capita,Latitude,Days,Tests/Million,Cases/Million,Deaths/Million,Positivity rate (%),Mortality rate (%)
Albania,1.29,38,2873457,20.17,Europe,14,14,2.89,5353.2,41.15,370,157600.76,37295.49,625.03,23.66,1.68
Argentina,3.91,31,44271041,-63.62,South America,14,11,5.0,9912.3,-38.42,404,140783.75,47601.43,1173.79,33.81,2.47
Australia,3.5,37,24598933,133.78,Oceania,22,16,3.84,55060.3,-25.27,400,685304.32,1178.02,36.95,0.17,3.14
Austria,5.23,44,8809212,14.55,Europe,8,19,7.37,50137.7,47.52,370,1692491.11,52154.49,971.82,3.08,1.86
Bahrain,0.92,32,1492584,50.64,Asia,27,2,2.0,23504.0,25.93,371,2290817.13,82001.41,300.82,3.58,0.37
Bangladesh,0.47,27,164669751,90.36,Asia,25,5,0.8,1855.7,23.68,362,24385.88,3317.04,51.06,13.6,1.54
Belgium,3.01,41,11372068,4.47,Europe,10,19,5.64,46420.7,50.5,391,833899.43,67842.63,1941.34,8.14,2.86
Bhutan,0.38,28,807610,90.43,Asia,13,6,1.7,3316.2,27.51,360,671488.71,1073.54,1.24,0.16,0.12
Bolivia,0.47,25,11051600,-63.59,South America,20,7,1.1,3552.1,-16.29,355,63830.85,22531.58,1054.06,35.3,4.68
Bosnia and Herzegovina,1.89,42,3507017,17.68,Europe,12,16,3.5,6108.5,43.92,361,199760.37,37347.69,1445.96,18.7,3.87
Bulgaria,4.0,44,7075991,25.49,Europe,13,21,7.45,9828.1,42.73,358,238892.47,34912.14,1440.22,14.61,4.13
Canada,2.54,41,36708083,-106.35,North America,-1,17,2.5,46194.7,56.13,400,535252.6,23746.65,599.05,4.44,2.52
Cape Verde,0.79,25,546388,-24.01,Africa,24,5,2.1,3603.8,16.0,346,223740.27,28185.1,269.04,12.6,0.95
Chile,1.03,35,18054726,-71.54,South America,9,12,2.11,14896.5,-35.68,372,519044.82,45673.64,1139.42,8.8,2.49
Colombia,1.82,32,49065615,-74.3,South America,25,8,1.71,6428.7,4.57,360,229140.04,45891.4,1218.08,20.03,2.65
Costa Rica,1.15,33,4905769,-83.75,North America,26,10,1.13,12243.8,9.75,360,115196.21,41653.2,570.76,36.16,1.37
Croatia,3.13,44,4125700,15.2,Europe,13,20,5.54,14936.1,45.1,370,321400.97,58892.55,1339.41,18.32,2.27
Cuba,7.52,43,11484636,-77.78,North America,26,15,5.2,8821.8,21.52,354,215954.17,4334.4,28.04,2.01,0.65
Cyprus,2.5,37,1179551,33.43,Europe,20,14,3.4,27858.4,35.13,357,1890182.79,29423.91,195.84,1.56,0.67
Denmark,3.66,42,5769603,9.5,Europe,8,20,2.5,60170.3,56.26,377,2849105.39,36724.02,409.39,1.29,1.11
Dominican Republic,1.49,27,10766998,-70.16,North America,26,7,1.6,8282.1,18.74,365,109512.98,22254.76,287.92,20.32,1.29
Ecuador,1.66,28,16624858,-78.18,South America,22,7,1.5,6183.8,-1.83,365,58221.97,17212.48,951.05,29.56,5.53
El Salvador,1.6,27,6377853,-88.9,North America,25,8,1.3,4187.3,13.79,347,128788.32,9386.54,290.69,7.29,3.1
Estonia,3.43,42,1315480,25.01,Europe,6,20,4.69,23723.3,58.6,368,741273.15,49867.73,447.75,6.73,0.9
Ethiopia,0.02,19,104957438,40.49,Africa,24,4,0.3,855.8,9.14,353,20540.94,1515.59,22.53,7.38,1.49
Fiji,0.84,28,905502,179.41,Oceania,25,5,2.3,6175.9,-16.58,353,43737.07,65.16,2.21,0.15,3.39
Finland,3.2,42,5511303,25.75,Europe,4,22,3.28,48782.8,61.92,397,629252.83,10464.31,134.63,1.66,1.29
France,3.24,42,67118648,2.21,Europe,13,20,5.98,40493.9,46.23,402,841724.58,55830.43,1277.45,6.63,2.29
